,Electricity: Distribution Losses,Electricity: Installed Capacity,Electricity: Net Consumption,Population: Density,Population: Growth Rate,Economics: GDP
2022-01-01,0.018634414071136966,0.16971237054953922,0.6056144773257762,1177.1626084790773,0.18485728424434858,6622179252.627138
2023-01-01,0.026261676894308125,0.1705408008541253,0.5798253354666147,1182.7263254527982,0.16937261536069928,6729619168.8883
2024-01-01,0.018756436447561163,0.17080141555278322,0.6050907211689505,1177.2577502920144,0.18204173020893272,6626012086.390909
2025-01-01,0.021129376093960504,0.17082147533140518,0.5967980295142057,1178.2280635200298,0.18022173670878583,6666521908.662178
2026-01-01,0.023623412714537346,0.17110360561912397,0.5861955890255645,1176.2230791851703,0.21941912563139254,6484365619.156892
2027-01-01,0.02025630990547906,0.17159206796317797,0.5956712239655251,1173.3179893960178,0.23398954820462659,6311662085.49288
2028-01-01,0.019140025816126845,0.17126773817875204,0.6004720527529558,1174.6253831588335,0.21413702821320357,6391995607.796552
2029-01-01,0.01962844098250997,0.17142745648416022,0.5983500089262592,1174.1267104159758,0.22726798779492172,6366841846.954462
2030-01-01,0.018738479411942892,0.17140805230229345,0.6015930944560608,1174.2122342936175,0.21775186514871991,6384067620.482137
2031-01-01,0.017806573291810443,0.17163936816346953,0.6034617306775919,1172.8073267146253,0.23099848611646234,6317883180.343222
