,Electricity: Distribution Losses,Electricity: Installed Capacity,Electricity: Net Consumption,Population: Density,Economics: GDP
1992-01-01,0.128,0.145,0.416,259.9030558558558,2257121668.19352
1993-01-01,0.151,0.145,0.335,265.07384504504506,1878248741.04949
1994-01-01,0.139,0.145,0.277,270.24463423423424,2167564194.7342
1995-01-01,0.261,0.145,0.269,275.4154234234234,2813313278.81082
1996-01-01,0.338,0.155,0.286,280.5862126126126,2907514522.92503
1997-01-01,0.267,0.155,0.286,285.7570018018018,3338938830.01743
1998-01-01,0.361,0.241,0.278,290.927790990991,3723909226.86781
1999-01-01,0.272,0.2396,0.268,296.0985801801802,4153736347.44223
2000-01-01,0.244,0.26286,0.28416,301.2693693693694,6813577558.17628
2001-01-01,0.291,0.244,0.28134,306.61227027027024,6331961555.40914
2002-01-01,0.279,0.244,0.24778,311.9551711711712,6058134466.75258
2003-01-01,0.279,0.244,0.2362,317.29807207207205,4826827577.08641
2004-01-01,0.291,0.244,0.23578,322.640972972973,6036959914.72398
2005-01-01,0.213,0.244,0.32254,327.98387387387385,7184064657.2953
2006-01-01,0.219,0.244,0.33006,333.3267747747748,7518107786.51149
2007-01-01,0.226,0.244,0.22116,338.66967567567565,9522763153.81366
2008-01-01,0.257,0.244,0.2087,344.0125765765766,10485225353.1801
2009-01-01,0.369,0.24,0.31916,349.35547747747745,11597014807.3496
2010-01-01,0.343,0.2665,0.2174,354.6983783783784,11859315078.7902
2011-01-01,0.332,0.2665,0.32004,359.8938882882883,13008754110.8113
2012-01-01,0.637,0.2669,0.40916,365.08939819819824,13708926466.2732
2013-01-01,0.599,0.3233,0.40106,370.2849081081081,14902474090.615
2014-01-01,0.613,0.320507,0.36332,375.480418018018,15139264670.4225
2015-01-01,0.608,0.333,0.37387,380.67592792792794,14833154471.7456
2016-01-01,0.617,0.33613,0.40751,386.0312,13987693738.923
2017-01-01,0.624,0.345,0.37705,391.3864720720721,15035560372.6443
2018-01-01,0.633708,0.37101,0.361442,396.74174414414415,16455034352.7671
2019-01-01,0.643,0.47128,0.382,402.09701621621616,14785839382.9002
2020-01-01,0.622,1.47128,0.292245106,407.4522882882883,14508218017.4032
2021-01-01,0.624405307,1.47128,0.365929086,412.4648108108108,14508218017.4032
