,Electricity: Distribution Losses_lag1,Electricity: Exports_lag1,Electricity: Imports_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Exports_lag2,Electricity: Imports_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Exports_lag3,Electricity: Imports_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Exports_lag4,Electricity: Imports_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Exports_lag5,Electricity: Imports_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Economics: GDP
1997-01-01,5.174,0.14,0.128,100855393910.486,3.911,0.04,0.151,88705342902.7113,3.091,0.05,0.101,74478356957.7808,4.181,0.104,0.128,66894837030.4184,1.741,0.175,0.159,59167550162.956,3.959,0.075,0.081,100005323301.867
1998-01-01,3.959,0.075,0.081,100005323301.867,5.174,0.14,0.128,100855393910.486,3.911,0.04,0.151,88705342902.7113,3.091,0.05,0.101,74478356957.7808,4.181,0.104,0.128,66894837030.4184,4.857,0.026,0.001,72167498980.8398
1999-01-01,4.857,0.026,0.001,72167498980.8398,3.959,0.075,0.081,100005323301.867,5.174,0.14,0.128,100855393910.486,3.911,0.04,0.151,88705342902.7113,3.091,0.05,0.101,74478356957.7808,5.219,0.075,0.001,79148421052.6316
2000-01-01,5.219,0.075,0.001,79148421052.6316,4.857,0.026,0.001,72167498980.8398,3.959,0.075,0.081,100005323301.867,5.174,0.14,0.128,100855393910.486,3.911,0.04,0.151,88705342902.7113,5.54,0.025,0.001,93789736842.1053
2001-01-01,5.54,0.025,0.001,93789736842.1053,5.219,0.075,0.001,79148421052.6316,4.857,0.026,0.001,72167498980.8398,3.959,0.075,0.081,100005323301.867,5.174,0.14,0.128,100855393910.486,5.687,0.09,0.002,92783947368.4211
2002-01-01,5.687,0.09,0.002,92783947368.4211,5.54,0.025,0.001,93789736842.1053,5.219,0.075,0.001,79148421052.6316,4.857,0.026,0.001,72167498980.8398,3.959,0.075,0.081,100005323301.867,5.94,0.07,0.004,100845526315.789
2003-01-01,5.94,0.07,0.004,100845526315.789,5.687,0.09,0.002,92783947368.4211,5.54,0.025,0.001,93789736842.1053,5.219,0.075,0.001,79148421052.6316,4.857,0.026,0.001,72167498980.8398,6.278,0.1,0.0,110202368421.053
2004-01-01,6.278,0.1,0.0,110202368421.053,5.94,0.07,0.004,100845526315.789,5.687,0.09,0.002,92783947368.4211,5.54,0.025,0.001,93789736842.1053,5.219,0.075,0.001,79148421052.6316,6.583,0.05,0.098,124749473684.211
2005-01-01,6.583,0.05,0.098,124749473684.211,6.278,0.1,0.0,110202368421.053,5.94,0.07,0.004,100845526315.789,5.687,0.09,0.002,92783947368.4211,5.54,0.025,0.001,93789736842.1053,6.614,2.233,0.002,143534102611.497
2006-01-01,6.614,2.233,0.002,143534102611.497,6.583,0.05,0.098,124749473684.211,6.278,0.1,0.0,110202368421.053,5.94,0.07,0.004,100845526315.789,5.687,0.09,0.002,92783947368.4211,7.187,2.324,0.004,162691238209.476
2007-01-01,7.187,2.324,0.004,162691238209.476,6.614,2.233,0.002,143534102611.497,6.583,0.05,0.098,124749473684.211,6.278,0.1,0.0,110202368421.053,5.94,0.07,0.004,100845526315.789,7.801,2.265,0.003,193547824063.3
2008-01-01,7.801,2.265,0.003,193547824063.3,7.187,2.324,0.004,162691238209.476,6.614,2.233,0.002,143534102611.497,6.583,0.05,0.098,124749473684.211,6.278,0.1,0.0,110202368421.053,7.824,0.583,0.105,230813897715.69
2009-01-01,7.824,0.583,0.105,230813897715.69,7.801,2.265,0.003,193547824063.3,7.187,2.324,0.004,162691238209.476,6.614,2.233,0.002,143534102611.497,6.583,0.05,0.098,124749473684.211,6.583,0.1,0.014,202257625195.063
2010-01-01,6.583,0.1,0.014,202257625195.063,7.824,0.583,0.105,230813897715.69,7.801,2.265,0.003,193547824063.3,7.187,2.324,0.004,162691238209.476,6.614,2.233,0.002,143534102611.497,7.698,0.151,0.0,255016609232.871
2011-01-01,7.698,0.151,0.0,255016609232.871,6.583,0.1,0.014,202257625195.063,7.824,0.583,0.105,230813897715.69,7.801,2.265,0.003,193547824063.3,7.187,2.324,0.004,162691238209.476,12.099,0.012,0.372,297951960784.314
2012-01-01,12.099,0.012,0.372,297951960784.314,7.698,0.151,0.0,255016609232.871,6.583,0.1,0.014,202257625195.063,7.824,0.583,0.105,230813897715.69,7.801,2.265,0.003,193547824063.3,8.36,0.012,0.105,314443149443.149
2013-01-01,8.36,0.012,0.105,314443149443.149,12.099,0.012,0.372,297951960784.314,7.698,0.151,0.0,255016609232.871,6.583,0.1,0.014,202257625195.063,7.824,0.583,0.105,230813897715.69,5.308,0.028,0.216,323277158906.979
