,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Economics: GDP
1992-01-01,0.7,0.065,0.211,0.957,8042337700.0
1993-01-01,0.713,0.102,0.192,0.959,8782585400.0
1994-01-01,0.728,0.0,0.033,0.957,9365289800.0
1995-01-01,0.75,0.003,0.15,0.957,9573813700.0
1996-01-01,0.812,0.026,0.075,0.959,9870494000.0
1997-01-01,0.952,0.118,0.065,0.984,10677286100.0
1998-01-01,0.904,0.025,0.057,1.049,11575486400.0
1999-01-01,0.897,0.095,0.045,1.1821,12130252200.0
2000-01-01,1.166,0.018,0.2,1.2581,12304115000.0
2001-01-01,1.066,0.118,0.045,1.2697,12502013400.0
2002-01-01,1.109,0.049,0.035,1.206,12994310400.0
2003-01-01,1.036,0.179,0.002,1.334,13693981200.0
2004-01-01,0.976,0.129,0.078,1.5937,15013381700.0
2005-01-01,0.93,0.051,0.055,1.6326,16374393900.0
2006-01-01,0.927,0.049,0.034393,1.478,18141666300.0
2007-01-01,0.911,0.12488756,0.00874,1.52,21295984230.2564
2008-01-01,0.778,0.031,0.105,1.615,25155888616.322
2009-01-01,1.016,0.095,0.06423,1.8,27116635565.1742
2010-01-01,1.08,0.039,0.071,1.911,29440287581.2675
2011-01-01,1.08,0.008,0.072,2.133,34686224301.1773
2012-01-01,1.177,0.059,0.019,2.418,40429734384.2184
2013-01-01,1.206,0.071,0.075,2.5203,45599994004.8873
2014-01-01,1.311,0.098,0.193,2.8018,49921464365.3204
2015-01-01,1.386,0.139,0.0171,3.1447,54091713775.5634
2016-01-01,1.511,0.398,0.03,3.3018,57907695408.9392
2017-01-01,1.44755,0.318,0.0066,3.4675,62202725204.4646
2018-01-01,1.423251,0.326,0.0132,3.8235,64929409212.4566
2019-01-01,1.309,0.427,0.0773,4.1299,66984427150.321
2020-01-01,1.207658,0.567,0.1169,4.15,53977036995.1729
2021-01-01,1.207658,0.567,0.060230867,4.341,53977036995.1729
