,Electricity: Distribution Losses,Electricity: Installed Capacity,Electricity: Net Consumption,Population: Growth Rate,Population: Percentage,Economics: GDP
1992-01-01,0.00721,0.028,0.09579,1.2356981289529003,0.0013710706908363,433667193.814795
1993-01-01,0.0077,0.028,0.1023,1.2356981289529003,0.0013674674347759,473916819.453826
1994-01-01,0.00826,0.033,0.10974,1.2206150120868449,0.0013639692945187,486451204.557142
1995-01-01,0.00847,0.033,0.11253,1.205895668526703,0.0013605717364646,508221508.221508
1996-01-01,0.00875,0.035,0.11625,1.191527094899982,0.0013572704840284,503068472.20266
1997-01-01,0.00973,0.041,0.12927,1.1774969002914024,0.0013540614996809,562958836.519905
1998-01-01,0.01043,0.05,0.13857,1.1637932706042189,0.0013509409684756,608369282.225727
1999-01-01,0.01134,0.088,0.15066,1.1504049353815682,0.0013479052829189,622985493.682733
2000-01-01,0.0,0.09136,0.178,1.1373211368916292,0.0013449510290579,614879764.780006
2001-01-01,0.0,0.09251,0.18,1.5424681488883265,0.0013476373322827,622262057.191635
2002-01-01,0.0,0.08586,0.205,1.519037479595902,0.0013502535186163,697518248.175182
2003-01-01,0.0,0.09162,0.21,1.4963080002617166,0.0013528022979403,705704816.042365
2004-01-01,0.0,0.09186,0.212,1.474248699034329,0.00135528624227,839319927.272727
2005-01-01,0.0,0.1111,0.217,1.4528303662605402,0.001357707794412,919103254.545455
2006-01-01,0.0,0.1121,0.237,1.4320254654459574,0.0013600692759774,1016418229.25159
2007-01-01,0.0,0.1134,0.255,1.4118080151458785,0.0013623728948054,1033561654.0568
2008-01-01,0.0,0.1131,0.253,1.3921534807218976,0.001364620751849,967199593.960157
2009-01-01,0.0,0.087,0.259,1.3730386750160206,0.0013668148475649,847397850.094417
2010-01-01,0.0,0.0877,0.283,1.3544416670962411,0.0013689570878524,969936525.298729
2011-01-01,0.0,0.1044,0.377,1.4784274259000716,0.0013718147101728,1065826669.89742
2012-01-01,0.0,0.1048,0.39,1.4568883884011947,0.0013746017078497,1060226125.62616
2013-01-01,0.0,0.111878,0.409,1.4359679382477153,0.0013773206671014,1328157608.83087
2014-01-01,0.0,0.114159,0.41925,1.415639804533526,0.0013799740493952,1343007845.04468
2015-01-01,0.0,0.117314,0.435572,1.3958791831930475,0.0013825641988799,1377495054.04127
2016-01-01,0.0,0.136446,0.46631,1.267634018540911,0.0013846288506273,1426651768.82189
2017-01-01,0.0297,0.154144,0.453402,1.251766204302573,0.001386648400513,1528242026.36264
2018-01-01,0.03,0.15533,0.45858,1.2362907346986909,0.0013886243104299,1547690759.44363
2019-01-01,0.03,0.158064,0.505894,1.2211932358708524,0.001390557979767,1582841058.89479
2020-01-01,0.03,0.1601,0.5662,1.2064600276200703,0.0013924507487141,1059886363.63636
2021-01-01,0.03,0.1661,0.6131768,0.7523926845446792,0.0013912738434501,1059886363.63636
